q,vector,eps_c1,eps_conj_qm1,abs_diff
29,B:hermite0,0.05061562152584237,0.05061562152585209,9.721390359374027e-15
29,B:hermite1,0.17006558654817092,0.17006558654817105,1.3877787807814457e-16
29,B:hermite2,0.3722413360796493,0.37224133607964843,8.881784197001252e-16
29,B:hermite3,0.6032917145619046,0.6032917145618991,5.440092820663267e-15
29,B:hermite4,0.756667877208242,0.7566678772082384,3.6637359812630166e-15
29,B:hermite5,0.7706033068803605,0.7706033068803714,1.0880185641326534e-14
29,B:hermite6,0.7463451775571478,0.7463451775571399,7.882583474838611e-15
29,T:m=0,7.085955875175866e-16,1.857321455325575e-15,1.1487258678079882e-15
29,T:m=1,3.1699300419123864e-15,6.31397379854993e-14,5.996980794358692e-14
29,T:m=2,2.010357536296879e-15,5.4561607711904814e-14,5.255125017560794e-14
29,T:m=3,2.3124584387768936e-15,5.802122759912026e-14,5.5708769160343367e-14
29,T:m=4,8.338576442273259e-15,1.327342380101438e-13,1.2439566156787054e-13
29,T:m=5,1.0,1.0,0.0
29,T:m=6,1.0,1.0,0.0
29,T:t1,1.3555772888556136e-15,2.6041257963025464e-14,2.468568067416985e-14
29,T:t2,0.034239347869895034,0.03423934786988789,7.147060721024445e-15
61,B:hermite0,0.009995365828351888,0.009995365828354315,2.426878142891553e-15
61,B:hermite1,0.04157156112965837,0.041571561129663946,5.578870698741412e-15
61,B:hermite2,0.11577510767442942,0.11577510767443439,4.9682480351975755e-15
61,B:hermite3,0.2473319019787373,0.24733190197876023,2.2926105458509483e-14
61,B:hermite4,0.4257055768377791,0.42570557683779714,1.8041124150158794e-14
61,B:hermite5,0.6030090377050334,0.6030090377050578,2.4313884239290928e-14
61,B:hermite6,0.7123738066792566,0.7123738066792756,1.8984813721090177e-14
61,T:m=0,2.0008636845497837e-15,9.8103097595725e-16,1.0198327085925337e-15
61,T:m=1,2.8665834284286146e-15,1.7571050134746435e-13,1.7284391791903572e-13
61,T:m=2,1.9650044822556047e-15,1.4584668291689998e-13,1.438816784346444e-13
61,T:m=3,2.2688845698497925e-15,1.5560718422628553e-13,1.5333829965643574e-13
61,T:m=4,2.1873856449744766e-15,1.4219689809243522e-13,1.4000951244746075e-13
61,T:m=5,2.5562612603294705e-15,1.5688439087356984e-13,1.5432812961324036e-13
61,T:m=6,3.324246949673853e-15,1.6799947906642114e-13,1.6467523211674729e-13
61,T:t1,1.7311648514700244e-15,7.210246985872939e-14,7.037130500725937e-14
61,T:t2,1.8713784261760093e-15,9.82915253260194e-14,9.642014689984339e-14
101,B:hermite0,0.0067498388334356115,0.006749838833432344,3.267351667002316e-15
101,B:hermite1,0.029192744648054197,0.029192744648047178,7.0186911838021615e-15
101,B:hermite2,0.08491026688462283,0.08491026688463246,9.631184738623233e-15
101,B:hermite3,0.190493196478376,0.19049319647836402,1.199040866595169e-14
101,B:hermite4,0.3467234537194957,0.3467234537195301,3.441691376337985e-14
101,B:hermite5,0.5236540003312193,0.5236540003312105,8.881784197001252e-15
101,B:hermite6,0.6638925578205471,0.6638925578205757,2.853273173286652e-14
101,T:m=0,1.5047166522288306e-15,8.845487450620503e-16,6.201679071667803e-16
101,T:m=1,2.2872197631580415e-15,2.032795865359107e-13,2.0099236677275267e-13
101,T:m=2,1.9889200908949603e-15,1.5592409240428478e-13,1.539351723133898e-13
101,T:m=3,2.6016306125467052e-15,1.394346169098473e-13,1.3683298629730059e-13
101,T:m=4,2.3505826105560597e-15,1.4514693879128517e-13,1.427963561807291e-13
101,T:m=5,2.166842869722727e-15,1.5938281669305694e-13,1.572159738233342e-13
101,T:m=6,2.5798644255362046e-15,1.571290009953133e-13,1.5454913656977708e-13
101,T:t1,1.6427703944905763e-15,8.317216156889225e-14,8.152939117440167e-14
101,T:t2,1.828147751373491e-15,1.0824247351047389e-13,1.064143257591004e-13
151,B:hermite0,0.009648011667829434,0.009648011667819716,9.717920912422073e-15
151,B:hermite1,0.04010675499425702,0.040106754994265255,8.23646706393788e-15
151,B:hermite2,0.11174402313058125,0.11174402313058601,4.760081218080359e-15
151,B:hermite3,0.23913861082066226,0.2391386108207267,6.444844657949034e-14
151,B:hermite4,0.41311185989118543,0.4131118598912184,3.297362383136715e-14
151,B:hermite5,0.588940890612256,0.5889408906123248,6.88338275267597e-14
151,B:hermite6,0.702746500096188,0.7027465000962319,4.3853809472693683e-14
151,T:m=0,2.0261252945731467e-15,1.3937176056156286e-15,6.324076889575181e-16
151,T:m=1,3.8441075758791276e-15,6.456636609440215e-13,6.418195533681424e-13
151,T:m=2,3.778588331276796e-15,5.627740222011017e-13,5.589954338698248e-13
151,T:m=3,3.3744239659547234e-15,5.435032140120543e-13,5.401287900460996e-13
151,T:m=4,3.2397681467707325e-15,5.74796636553319e-13,5.715568684065482e-13
151,T:m=5,3.2329663263784504e-15,5.30278478157735e-13,5.270455118313565e-13
151,T:m=6,3.3635386505597805e-15,6.055625458962033e-13,6.021990072456435e-13
151,T:t1,2.018584076040772e-15,2.646350417887015e-13,2.626164577126607e-13
