q,hermite_n,epsilon,window_err,disc_err,rank,rank_over_q
29,0,1.2957549760334102e-15,3.6850924063439335e-11,4.797835782979108e-11,29,1.0
29,1,7.135795239050115e-16,3.5555068592827907e-10,5.52596470637289e-10,29,1.0
29,2,9.956209386644415e-16,2.4002111728364796e-09,2.9957064976194696e-09,29,1.0
29,3,8.914080341537431e-16,1.3086329199415259e-08,1.910588218240277e-08,29,1.0
29,4,1.1409103130078308e-15,6.109831813784404e-08,8.209472736048919e-08,29,1.0
29,5,1.1815318501664628e-15,2.521931507740196e-07,3.984587223560729e-07,29,1.0
29,6,1.051905288838569e-15,9.388954019987231e-07,1.2144416612023318e-06,29,1.0
61,0,1.0914613025650236e-15,3.743927905362077e-22,6.993126155355039e-16,61,1.0
61,1,7.914979504636911e-16,5.2095697922689636e-21,1.1132097565483532e-15,61,1.0
61,2,7.906949604476916e-16,5.099593688159234e-20,8.077460691028379e-16,61,1.0
61,3,8.260012238590416e-16,4.0547488687219607e-19,9.604681436973587e-16,61,1.0
61,4,8.520761292933282e-16,2.777333912015109e-18,9.25097733672562e-16,61,1.0
61,5,1.0912863819657567e-15,1.6924113955411853e-17,9.749020717760907e-16,61,1.0
61,6,9.265449652675062e-16,9.363197573500508e-17,1.1401413421416185e-15,61,1.0
101,0,5.7535181724436e-16,7.50315863793073e-36,5.793844673225607e-16,101,1.0
101,1,9.661525381880077e-16,1.3407099801406888e-34,5.776394548888677e-16,101,1.0
101,2,9.20971743374873e-16,1.6887164871061686e-33,5.839650644027816e-16,101,1.0
101,3,1.043035256934662e-15,1.7312770885542326e-32,6.276726560914509e-16,101,1.0
101,4,1.0565440794063171e-15,1.5322433230831664e-31,7.682531836147806e-16,101,1.0
101,5,1.1519927808224752e-15,1.2090420956761081e-30,8.518809987702811e-16,101,1.0
101,6,1.1262436786034615e-15,8.68077678599947e-30,8.576230496046462e-16,101,1.0
151,0,7.253375265476689e-16,6.018625818819965e-53,1.0333400420745986e-15,151,1.0
151,1,9.702946376494031e-16,1.3135873685153815e-51,6.936087483439802e-16,151,1.0
151,2,1.0908620666636804e-15,2.0230039738279652e-50,8.913470517982728e-16,151,1.0
151,3,1.1728094630512411e-15,2.5384834448508443e-49,7.910267309218653e-16,151,1.0
151,4,1.1281552052962704e-15,2.752721346663556e-48,8.852711154651085e-16,151,1.0
151,5,1.1536028097927252e-15,2.6642132859155624e-47,9.658978372136904e-16,151,1.0
151,6,1.220978643499655e-15,2.348837647361587e-46,1.1039134174072937e-15,151,1.0
211,0,8.002863278163185e-16,1.879062904057552e-73,1.1389113008167146e-15,211,1.0
211,1,1.0830547345707822e-15,4.845205462157508e-72,1.8612125076981454e-15,211,1.0
211,2,1.142804578148179e-15,8.820970262194857e-71,1.0921090354786186e-15,211,1.0
211,3,1.1347132932168163e-15,1.309242929433376e-69,1.1991110282415698e-15,211,1.0
211,4,1.2148673481207862e-15,1.6803398935062663e-68,1.0493249364872696e-15,211,1.0
211,5,1.2963286414137414e-15,1.9260095422095916e-67,1.3379286582434674e-15,211,1.0
211,6,1.272036591094648e-15,2.0121738034161832e-66,1.1404114467006096e-15,211,1.0
