q,vector,epsilon,rank,rank_over_q
29,m=0,5.280718479091281e-16,29,1.0
29,m=1,1.5110530015833975e-15,29,1.0
29,m=2,9.466122260510306e-16,29,1.0
29,m=3,9.989165460105443e-16,29,1.0
29,m=4,7.514484502234815e-16,29,1.0
29,m=5,8.814891248340898e-16,29,1.0
29,m=6,1.123988555670552e-15,29,1.0
29,t1,1.0688432003764289e-15,29,1.0
29,t2,1.393381636637324e-15,29,1.0
61,m=0,8.474459300707603e-16,61,1.0
61,m=1,7.563122987747269e-16,61,1.0
61,m=2,7.562205909899566e-16,61,1.0
61,m=3,7.998328232256096e-16,61,1.0
61,m=4,7.317258242751889e-16,61,1.0
61,m=5,7.790896600413417e-16,61,1.0
61,m=6,8.274335099035693e-16,61,1.0
61,t1,6.170407830025137e-16,61,1.0
61,t2,6.194492212850654e-16,61,1.0
101,m=0,9.652296090637487e-16,101,1.0
101,m=1,7.10890114891304e-16,101,1.0
101,m=2,8.240477328518626e-16,101,1.0
101,m=3,1.0646935025415084e-15,101,1.0
101,m=4,6.685983182193211e-16,101,1.0
101,m=5,8.091683781789994e-16,101,1.0
101,m=6,7.373843197736188e-16,101,1.0
101,t1,9.388557020439743e-16,101,1.0
101,t2,9.092517183922056e-16,101,1.0
151,m=0,6.309758873154905e-16,151,1.0
151,m=1,6.322300159328252e-16,151,1.0
151,m=2,1.0836757301884102e-15,151,1.0
151,m=3,7.83304670738346e-16,151,1.0
151,m=4,1.1116100572053326e-15,151,1.0
151,m=5,1.0114557487146054e-15,151,1.0
151,m=6,9.625739198287186e-16,151,1.0
151,t1,5.732764057180697e-16,151,1.0
151,t2,5.017768013495709e-16,151,1.0
211,m=0,7.482038076597678e-16,211,1.0
211,m=1,9.59186185959294e-16,211,1.0
211,m=2,8.483101406446874e-16,211,1.0
211,m=3,5.855323137330629e-16,211,1.0
211,m=4,7.569835041616708e-16,211,1.0
211,m=5,8.574543295887287e-16,211,1.0
211,m=6,7.86836844901182e-16,211,1.0
211,t1,7.050234469120748e-16,211,1.0
211,t2,9.149650938083996e-16,211,1.0
