q,hermite_n,epsilon,window_err,disc_err
29,0,3.2599557023673906e-16,3.6850924063439335e-11,4.797835782979108e-11
29,1,3.28253918854115e-16,3.5555068592827907e-10,5.52596470637289e-10
29,2,3.346329725563363e-16,2.4002111728364796e-09,2.9957064976194696e-09
29,3,3.572806083641025e-16,1.3086329199415259e-08,1.910588218240277e-08
29,4,2.7675912358350834e-16,6.109831813784404e-08,8.209472736048919e-08
29,5,3.6650934645003194e-16,2.521931507740196e-07,3.984587223560729e-07
29,6,2.8158358381243787e-16,9.388954019987231e-07,1.2144416612023318e-06
61,0,3.120149279380574e-16,3.743927905362077e-22,6.993126155355039e-16
61,1,4.050674193874079e-16,5.2095697922689636e-21,1.1132097565483532e-15
61,2,3.477580547909589e-16,5.099593688159234e-20,8.077460691028379e-16
61,3,3.1801028321686947e-16,4.0547488687219607e-19,9.604681436973587e-16
61,4,2.998569859110104e-16,2.777333912015109e-18,9.25097733672562e-16
61,5,3.076313282563799e-16,1.6924113955411853e-17,9.749020717760907e-16
61,6,3.2846635219349816e-16,9.363197573500508e-17,1.1401413421416185e-15
101,0,4.191585009386176e-16,7.50315863793073e-36,5.793844673225607e-16
101,1,4.16268384342618e-16,1.3407099801406888e-34,5.776394548888677e-16
101,2,5.214723551850863e-16,1.6887164871061686e-33,5.839650644027816e-16
101,3,5.333334433441511e-16,1.7312770885542326e-32,6.276726560914509e-16
101,4,4.640373180349353e-16,1.5322433230831664e-31,7.682531836147806e-16
101,5,4.926966950010432e-16,1.2090420956761081e-30,8.518809987702811e-16
101,6,3.9172872945025254e-16,8.68077678599947e-30,8.576230496046462e-16
151,0,0.6324167541265807,6.018625818819965e-53,1.0333400420745986e-15
151,1,0.6331521683964416,1.3135873685153815e-51,6.936087483439802e-16
151,2,0.6268828453738396,2.0230039738279652e-50,8.913470517982728e-16
151,3,0.657346517356669,2.5384834448508443e-49,7.910267309218653e-16
151,4,0.5560116743511504,2.752721346663556e-48,8.852711154651085e-16
151,5,0.7453644855723869,2.6642132859155624e-47,9.658978372136904e-16
151,6,0.5185821060493605,2.348837647361587e-46,1.1039134174072937e-15
211,0,0.517937145487402,1.879062904057552e-73,1.1389113008167146e-15
211,1,0.45290258484736085,4.845205462157508e-72,1.8612125076981454e-15
211,2,0.3965937860369993,8.820970262194857e-71,1.0921090354786186e-15
211,3,0.5356813975218697,1.309242929433376e-69,1.1991110282415698e-15
211,4,0.5180688502435359,1.6803398935062663e-68,1.0493249364872696e-15
211,5,0.4700833600130801,1.9260095422095916e-67,1.3379286582434674e-15
211,6,0.5045603045837093,2.0121738034161832e-66,1.1404114467006096e-15
