q,variant,aY+,aY-,aXc+,aXc-,n_vecs
29,ncut+3,2.0000054017230875,2.0000054017230875,2.0000000000000004,2.0000000000000004,114752
29,eps/10,2.0000091541640037,2.0000091541640037,2.000000000000001,2.000000000000001,19136
29,mean5blocks,2.0082016713137882,2.0082016713137887,2.000000000000001,2.000000000000001,-1
29,conjblock,2.0000091541640037,2.0000091541640037,2.000000000000001,2.000000000000001,19136
61,ncut+3,1.9214034520467598,1.9214034520467598,1.9999999999999996,1.9999999999999996,275776
61,eps/10,1.8716827426738065,1.8716827426738065,1.9999999999999991,1.9999999999999991,68416
61,mean5blocks,1.9700230165334223,1.9700230165334223,1.9999999999999993,1.9999999999999993,-1
61,conjblock,n/a,n/a,n/a,n/a,0
101,ncut+3,1.5312094650641306,1.5312094650641306,1.9999999999999998,1.9999999999999998,780480
101,eps/10,1.520877388880796,1.520877388880796,1.9999999999999996,1.9999999999999996,275776
101,mean5blocks,1.9049301128361606,1.9049301128361609,2.0,2.0,-1
101,conjblock,n/a,n/a,n/a,n/a,0
151,ncut+3,1.8582082689074733,1.8582082689074733,2.0,2.0,1380416
151,eps/10,1.7973265629371602,1.7973265629371602,2.0,2.0,567744
151,mean5blocks,1.959374609427067,1.959374609427067,2.0,2.0,-1
151,conjblock,n/a,n/a,n/a,n/a,0
211,ncut+3,2.0000251039379595,2.0000251039379595,2.0,2.0,1785920
211,eps/10,2.000035282689142,2.000035282689142,2.0,2.0,780480
211,mean5blocks,1.892533187583694,1.892533187583694,2.0,2.0,-1
211,conjblock,n/a,n/a,n/a,n/a,0
