q,depth,vector,epsilon,dim
29,3,B:hermite0,0.13770008976355055,7
29,3,B:hermite1,0.37765321200099927,7
29,3,B:hermite2,0.6536154355969631,7
29,3,B:hermite3,0.8106251815668591,7
29,3,B:hermite4,0.7961304095189441,7
29,3,B:hermite5,0.7943509692709486,7
29,3,B:hermite6,0.8629580616239461,7
29,3,T:m=0,7.28666743060287e-16,7
29,3,T:m=1,3.7315239438088386e-15,7
29,3,T:m=2,2.9246367730580413e-15,7
29,3,T:m=3,5.3228327049490365e-15,7
29,3,T:m=4,1.0,7
29,3,T:m=5,1.0,7
29,3,T:m=6,1.0,7
29,3,T:t1,1.5892924928945679e-15,7
29,3,T:t2,0.07656150934234836,7
29,5,B:hermite0,0.015120459755409918,11
29,5,B:hermite1,0.0603766798194466,11
29,5,B:hermite2,0.16050007455371296,11
29,5,B:hermite3,0.3247676260873568,11
29,5,B:hermite4,0.5240421145234685,11
29,5,B:hermite5,0.6872038606423763,11
29,5,B:hermite6,0.7457522146128087,11
29,5,T:m=0,2.3805040607604796e-15,11
29,5,T:m=1,2.5291748866641363e-15,11
29,5,T:m=2,1.2887811489980303e-15,11
29,5,T:m=3,1.873640038180716e-15,11
29,5,T:m=4,2.8991258935905353e-15,11
29,5,T:m=5,9.876235657005018e-15,11
29,5,T:m=6,1.0,11
29,5,T:t1,1.885665740627465e-15,11
29,5,T:t2,2.0474521644002075e-15,11
61,7,B:hermite0,0.024421620066623587,15
61,7,B:hermite1,0.09096346363579068,15
61,7,B:hermite2,0.2241863341635437,15
61,7,B:hermite3,0.4175359168510275,15
61,7,B:hermite4,0.6154548881132965,15
61,7,B:hermite5,0.7353631656881993,15
61,7,B:hermite6,0.7450260483248552,15
61,7,T:m=0,1.0786828491681234e-15,15
61,7,T:m=1,3.2133456300489102e-15,15
61,7,T:m=2,1.982681167737226e-15,15
61,7,T:m=3,2.5554630279319204e-15,15
61,7,T:m=4,2.1715777607170573e-15,15
61,7,T:m=5,2.453477589600352e-15,15
61,7,T:m=6,4.813074110401935e-15,15
61,7,T:t1,1.6467268826191874e-15,15
61,7,T:t2,1.649533670750264e-15,15
61,9,B:hermite0,0.003703760306215296,19
61,9,B:hermite1,0.01702921962361653,19
61,9,B:hermite2,0.052912395285276574,19
61,9,B:hermite3,0.12756346682142528,19
61,9,B:hermite4,0.2513096098458472,19
61,9,B:hermite5,0.41425612432768893,19
61,9,B:hermite6,0.5775120928526272,19
61,9,T:m=0,8.477363683836095e-16,19
61,9,T:m=1,2.522635733561591e-15,19
61,9,T:m=2,2.052737851703598e-15,19
61,9,T:m=3,1.9956620561850535e-15,19
61,9,T:m=4,1.803371216834411e-15,19
61,9,T:m=5,2.1287422857828028e-15,19
61,9,T:m=6,2.2201867811934386e-15,19
61,9,T:t1,1.4649573932775373e-15,19
61,9,T:t2,1.3784185944405078e-15,19
101,10,B:hermite0,0.014036226081030057,21
101,10,B:hermite1,0.055967311303947165,21
101,10,B:hermite2,0.14889162226890704,21
101,10,B:hermite3,0.30250819765271225,21
101,10,B:hermite4,0.49264816628914676,21
101,10,B:hermite5,0.6571916553320717,21
101,10,B:hermite6,0.7325031123950062,21
101,10,T:m=0,1.6906851971349256e-15,21
101,10,T:m=1,2.5310711111298422e-15,21
101,10,T:m=2,2.215734252431253e-15,21
101,10,T:m=3,2.5285042950682286e-15,21
101,10,T:m=4,2.3582706744489663e-15,21
101,10,T:m=5,2.599124019874366e-15,21
101,10,T:m=6,3.3115345765834114e-15,21
101,10,T:t1,1.9180263616702875e-15,21
101,10,T:t2,1.958443877267682e-15,21
101,12,B:hermite0,0.0030570544953105305,25
101,12,B:hermite1,0.01426107245786672,25
101,12,B:hermite2,0.04503397779294842,25
101,12,B:hermite3,0.11057420502705377,25
101,12,B:hermite4,0.22246316212479358,25
101,12,B:hermite5,0.3757912312072417,25
101,12,B:hermite6,0.5391363023367124,25
101,12,T:m=0,1.3351899732571798e-15,25
101,12,T:m=1,2.016460529767747e-15,25
101,12,T:m=2,2.0307484163016552e-15,25
101,12,T:m=3,2.247657759494783e-15,25
101,12,T:m=4,2.236200219628691e-15,25
101,12,T:m=5,2.3147905536581573e-15,25
101,12,T:m=6,2.707082961633114e-15,25
101,12,T:t1,1.2071119264930992e-15,25
101,12,T:t2,1.431547400998003e-15,25
151,12,B:hermite0,0.01721424238717312,25
151,12,B:hermite1,0.06683617696701145,25
151,12,B:hermite2,0.17271785422244307,25
151,12,B:hermite3,0.3398684700349191,25
151,12,B:hermite4,0.534266758530644,25
151,12,B:hermite5,0.6862195744049819,25
151,12,B:hermite6,0.7394144852086382,25
151,12,T:m=0,9.88194309309724e-16,25
151,12,T:m=1,4.294942484980631e-15,25
151,12,T:m=2,4.2827366436720675e-15,25
151,12,T:m=3,3.5877915429299095e-15,25
151,12,T:m=4,3.449244732423929e-15,25
151,12,T:m=5,3.3612187247981546e-15,25
151,12,T:m=6,3.625020025693713e-15,25
151,12,T:t1,2.1010930600404475e-15,25
151,12,T:t2,2.598338955821017e-15,25
151,14,B:hermite0,0.005196120332760568,29
151,14,B:hermite1,0.02303534841499283,29
151,14,B:hermite2,0.06885074823143024,29
151,14,B:hermite3,0.15922991650580598,29
151,14,B:hermite4,0.2999427817952252,29
151,14,B:hermite5,0.4710530194513761,29
151,14,B:hermite6,0.6238444733183934,29
151,14,T:m=0,9.191113003873333e-16,29
151,14,T:m=1,3.3222106604791055e-15,29
151,14,T:m=2,3.4532253682026455e-15,29
151,14,T:m=3,2.886524569589597e-15,29
151,14,T:m=4,2.897332875598566e-15,29
151,14,T:m=5,2.9004162089263538e-15,29
151,14,T:m=6,3.296755681148787e-15,29
151,14,T:t1,1.4786440796765763e-15,29
151,14,T:t2,1.89723169338041e-15,29
211,13,B:hermite0,0.03094303624358905,27
211,13,B:hermite1,0.11085621528863376,27
211,13,B:hermite2,0.26200848686966804,27
211,13,B:hermite3,0.4664162617886355,27
211,13,B:hermite4,0.6554387949980269,27
211,13,B:hermite5,0.7490064741203023,27
211,13,B:hermite6,0.7438064976672427,27
211,13,T:m=0,1.1823027708970796e-15,27
211,13,T:m=1,5.561248150424262e-15,27
211,13,T:m=2,5.361308632739314e-15,27
211,13,T:m=3,5.5283100718057895e-15,27
211,13,T:m=4,4.968688080716658e-15,27
211,13,T:m=5,5.164868974749251e-15,27
211,13,T:m=6,5.450296144187462e-15,27
211,13,T:t1,2.6358718739502924e-15,27
211,13,T:t2,3.4309954833587492e-15,27
211,15,B:hermite0,0.012224229427116436,31
211,15,B:hermite1,0.049425765040593685,31
211,15,B:hermite2,0.13360331713229834,31
211,15,B:hermite3,0.27653445282091643,31
211,15,B:hermite4,0.4603230947816338,31
211,15,B:hermite5,0.6300244847648264,31
211,15,B:hermite6,0.7215146059784607,31
211,15,T:m=0,1.243832047127954e-15,31
211,15,T:m=1,5.059376885338963e-15,31
211,15,T:m=2,4.878436711777296e-15,31
211,15,T:m=3,4.9289148176690365e-15,31
211,15,T:m=4,4.836420888193374e-15,31
