q,index,sigma
29,0,0.5408409359089007
29,1,0.47780711932934544
29,2,0.47780711932934533
29,3,0.40654572836384817
29,4,0.406545728363848
29,5,0.3216337604513385
29,6,0.32163376045133835
29,7,0.19808836712200112
29,8,0.19808836712200104
29,9,0.19808836712200095
29,10,0.19808836712200095
29,11,0.19808836712200092
29,12,0.1980883671220009
29,13,0.19506393963766844
29,14,0.1950639396376684
29,15,0.1950639396376684
29,16,0.1950639396376684
29,17,0.19506393963766835
29,18,0.19506393963766835
29,19,0.19506393963766833
29,20,0.1950639396376683
29,21,0.1950639396376683
29,22,0.19506393963766824
29,23,0.19506393963766824
29,24,0.19506393963766822
29,25,0.19506393963766822
29,26,0.19506393963766813
29,27,0.1950639396376681
29,28,0.1950639396376681
61,0,0.3673009262689849
61,1,0.3212445564305808
61,2,0.32124455643058075
61,3,0.2678710596453803
61,4,0.26787105964538027
61,5,0.20144599553187728
61,6,0.20144599553187717
61,7,0.09417315813996785
61,8,0.09417315813996781
61,9,0.09417315813996778
61,10,0.09417315813996778
61,11,0.09417315813996771
61,12,0.09417315813996768
61,13,0.0927353155654493
61,14,0.09273531556544924
61,15,0.09273531556544924
61,16,0.0927353155654492
61,17,0.09273531556544917
61,18,0.09273531556544914
61,19,0.09273531556544914
61,20,0.09273531556544912
61,21,0.09273531556544909
61,22,0.09273531556544908
61,23,0.09273531556544905
61,24,0.09273531556544903
61,25,0.09273531556544902
61,26,0.09273531556544902
61,27,0.09273531556544902
61,28,0.092735315565449
61,29,0.09273531556544898
61,30,0.09273531556544898
61,31,0.09273531556544895
61,32,0.09273531556544895
61,33,0.09273531556544895
61,34,0.09273531556544895
61,35,0.09273531556544895
61,36,0.09273531556544892
61,37,0.0927353155654489
61,38,0.0927353155654489
61,39,0.09273531556544888
61,40,0.09273531556544888
61,41,0.09273531556544887
61,42,0.09273531556544887
61,43,0.09273531556544885
61,44,0.09273531556544885
61,45,0.09273531556544884
61,46,0.09273531556544884
61,47,0.09273531556544883
61,48,0.09273531556544881
61,49,0.09273531556544877
61,50,0.09273531556544877
61,51,0.09273531556544877
61,52,0.09273531556544876
61,53,0.09273531556544874
61,54,0.09273531556544873
61,55,0.09273531556544871
61,56,0.0927353155654487
61,57,0.09273531556544869
61,58,0.09273531556544869
61,59,0.09273531556544866
61,60,0.09273531556544863
101,0,0.2838667561748803
101,1,0.24732665340191684
101,2,0.24732665340191676
101,3,0.20459384475021616
101,4,0.20459384475021608
101,5,0.15048202132248187
101,6,0.15048202132248173
101,7,0.05687685788651521
101,8,0.05687685788651521
101,9,0.056876857886515204
101,10,0.0568768578865152
101,11,0.05687685788651514
101,12,0.05687685788651503
101,13,0.0560084579157666
101,14,0.05600845791576653
101,15,0.05600845791576652
101,16,0.056008457915766474
101,17,0.05600845791576645
101,18,0.056008457915766446
101,19,0.05600845791576644
101,20,0.056008457915766426
101,21,0.05600845791576641
101,22,0.056008457915766384
101,23,0.056008457915766384
101,24,0.05600845791576637
101,25,0.05600845791576636
101,26,0.056008457915766356
101,27,0.056008457915766356
101,28,0.05600845791576635
101,29,0.05600845791576634
101,30,0.05600845791576634
101,31,0.056008457915766335
101,32,0.05600845791576632
101,33,0.05600845791576632
101,34,0.056008457915766315
101,35,0.05600845791576631
101,36,0.05600845791576631
101,37,0.0560084579157663
101,38,0.0560084579157663
101,39,0.05600845791576629
101,40,0.05600845791576629
101,41,0.05600845791576629
101,42,0.05600845791576629
101,43,0.05600845791576628
101,44,0.05600845791576627
