q,index,sigma
29,0,5.000000000000002
29,1,4.999999999999996
29,2,4.795831523312718
29,3,4.582575694955841
29,4,4.582575694955839
29,5,3.0000000000000018
29,6,3.0000000000000004
29,7,1.0
29,8,0.9999999999999991
29,9,8.139536825657223e-08
29,10,6.051673892626943e-08
29,11,5.6522105531918485e-08
29,12,5.633232531354766e-08
29,13,5.354150425792288e-08
29,14,3.9579096184642274e-08
29,15,3.620226718401155e-08
29,16,2.478162988106754e-08
29,17,1.1310575250318131e-08
29,18,0.0
29,19,0.0
29,20,0.0
29,21,0.0
29,22,0.0
29,23,0.0
29,24,0.0
29,25,0.0
29,26,0.0
29,27,0.0
29,28,0.0
61,0,13.228756555322954
61,1,13.228756555322953
61,2,13.152946437965916
61,3,13.152946437965907
61,4,12.845232578665135
61,5,12.688577540449527
61,6,12.688577540449522
61,7,11.704699910719633
61,8,11.704699910719626
61,9,9.848857801796111
61,10,9.848857801796106
61,11,7.280109889280522
61,12,7.280109889280518
61,13,4.123105625617662
61,14,4.12310562561766
61,15,1.0000000000000153
61,16,1.0000000000000002
61,17,5.435833074030555e-07
61,18,4.870337871634095e-07
61,19,4.049474507243616e-07
61,20,4.0045854077818153e-07
61,21,3.552238488622123e-07
61,22,3.543879952789746e-07
61,23,3.46993872591328e-07
61,24,3.209855851417102e-07
61,25,3.049465914412145e-07
61,26,2.531673498218519e-07
61,27,2.5216915809393524e-07
61,28,2.3604679548706355e-07
61,29,2.0948437824829174e-07
61,30,1.9870172849498487e-07
61,31,1.699032677325171e-07
61,32,1.4265521686691196e-07
61,33,1.22294891243992e-07
61,34,8.154422658282106e-08
61,35,5.855145008468678e-08
61,36,3.583976983896098e-08
61,37,0.0
61,38,0.0
61,39,0.0
61,40,0.0
61,41,0.0
61,42,0.0
61,43,0.0
61,44,0.0
61,45,0.0
61,46,0.0
61,47,0.0
61,48,0.0
61,49,0.0
61,50,0.0
61,51,0.0
61,52,0.0
61,53,0.0
61,54,0.0
61,55,0.0
61,56,0.0
61,57,0.0
61,58,0.0
61,59,0.0
61,60,0.0
101,0,21.283796653792773
101,1,21.283796653792763
101,2,21.28379665379276
101,3,21.28379665379275
101,4,20.90454496036688
101,5,20.904544960366856
101,6,20.856653614614217
101,7,20.273134932713294
101,8,20.273134932713287
101,9,19.31320791582797
101,10,19.313207915827967
101,11,17.6351920885484
101,12,17.635192088548397
101,13,15.264337522473747
101,14,15.264337522473744
101,15,12.288205727444515
101,16,12.288205727444502
101,17,8.774964387392137
101,18,8.774964387392128
101,19,4.7958315233127164
101,20,4.79583152331271
101,21,0.9999999999999816
101,22,0.9999999999999638
101,23,6.253707756567305e-07
101,24,5.511314908814265e-07
101,25,4.724525304993498e-07
101,26,4.514054148913285e-07
101,27,4.4489407091609726e-07
101,28,4.292262112392729e-07
101,29,4.0308341372858023e-07
101,30,4.02587623882235e-07
101,31,3.6852111997928756e-07
101,32,3.4069692543185624e-07
101,33,3.39589953248377e-07
101,34,3.2198775973305213e-07
101,35,3.093645174168059e-07
101,36,3.0663039680861354e-07
101,37,3.0362708399399436e-07
101,38,2.9280571850938165e-07
101,39,2.808148281384264e-07
101,40,2.712914054467707e-07
101,41,2.5761125414134596e-07
101,42,2.5751209326767544e-07
101,43,2.4269041946085617e-07
101,44,2.3466763222142324e-07
101,45,2.147739569517025e-07
101,46,2.1162883561663292e-07
101,47,2.0106788430110564e-07
101,48,2.006901093085691e-07
101,49,1.964148554666761e-07
101,50,1.9258136610418585e-07
101,51,1.866784973037903e-07
101,52,1.8146339122500682e-07
101,53,1.6654634020059543e-07
101,54,1.501592782782326e-07
101,55,1.338395986767121e-07
101,56,1.289049356798309e-07
101,57,1.2444640166122626e-07
101,58,1.1846686564078756e-07
101,59,1.0765513770021994e-07
